timestamp,mode,selected_model,decision_reason,latency_s,prompt_length,output_tokens,throughput_tokens_per_s,cpu_util_before,cpu_util_after,cpu_util_delta,gpu_util_before,gpu_util_after,gpu_util_delta,cpu_mem_before_gb,cpu_mem_after_gb,gpu_mem_before_gb,gpu_mem_after_gb,gpu_mem_util_before_pct,gpu_mem_util_after_pct
2025-11-30T16:34:24.550690,cpu,phi3,"Tiny prompt (len=2), CPU optimal | Queue depth: 3",9.514,2,442,46.46,0.0,38.0,38.0,8.0,94.0,86.0,13.62,13.65,4.46,4.46,74.42,74.42
2025-11-30T16:34:24.552243,cpu,phi3,"Tiny prompt (len=2), CPU optimal | Queue depth: 4",11.283,2,96,8.51,0.0,46.7,46.7,8.0,94.0,86.0,13.62,13.59,4.46,4.46,74.42,74.42
2025-11-30T16:34:24.547461,cpu,phi3,"Tiny prompt (len=3), CPU optimal | Queue depth: 1",13.137,3,91,6.93,34.8,43.1,8.3,8.0,93.0,85.0,13.62,13.59,4.46,4.46,74.42,74.42
2025-11-30T16:34:24.548620,cpu,phi3,"Tiny prompt (len=3), CPU optimal | Queue depth: 2",16.332,3,168,10.29,0.0,43.4,43.4,8.0,93.0,85.0,13.62,13.58,4.46,4.46,74.42,74.42
2025-11-30T16:34:24.552895,cpu,phi3,"Tiny prompt (len=3), CPU optimal | Queue depth: 5",18.771,3,121,6.45,0.0,46.3,46.3,8.0,95.0,87.0,13.62,13.59,4.46,4.46,74.42,74.42
2025-11-30T16:34:46.340934,gpu,gemma2:2b,"Small prompt, GPU available (util=1.0%) | Queue depth: 1",15.342,10,412,26.86,41.4,55.6,14.2,1.0,85.0,84.0,13.65,14.02,4.46,3.03,74.42,50.45
2025-11-30T16:34:46.354911,gpu,gemma2:2b,"Small prompt, GPU available (util=1.0%) | Queue depth: 10",23.63,8,446,18.87,0.0,43.0,43.0,1.0,85.0,84.0,13.65,13.96,4.46,3.02,74.42,50.43
2025-11-30T16:34:46.345748,gpu,gemma2:2b,"Small prompt, GPU available (util=1.0%) | Queue depth: 5",33.636,10,585,17.39,0.0,33.1,33.1,1.0,85.0,84.0,13.65,13.97,4.46,3.02,74.42,50.43
2025-11-30T16:34:46.342426,gpu,gemma2:2b,"Small prompt, GPU available (util=1.0%) | Queue depth: 2",40.089,9,372,9.28,0.0,33.2,33.2,1.0,85.0,84.0,13.65,14.03,4.46,3.02,74.42,50.43
2025-11-30T16:34:46.343657,gpu,gemma2:2b,"Small prompt, GPU available (util=1.0%) | Queue depth: 4",47.417,12,410,8.65,0.0,29.8,29.8,1.0,86.0,85.0,13.65,14.0,4.46,3.02,74.42,50.43
