timestamp,mode,selected_model,decision_reason,latency_s,prompt_length,output_tokens,throughput_tokens_per_s,cpu_util_before,cpu_util_after,cpu_util_delta,gpu_util_before,gpu_util_after,gpu_util_delta,cpu_mem_before_gb,cpu_mem_after_gb,gpu_mem_before_gb,gpu_mem_after_gb,gpu_mem_util_before_pct,gpu_mem_util_after_pct
2025-12-01T16:23:43.461535,gpu,gemma2:2b,Force GPU mode | Queue depth: 14,16.261,10,478,29.39,58.3,50.0,-8.3,8.0,84.0,76.0,12.17,12.26,2.9,2.9,48.3,48.3
2025-12-01T16:23:51.392795,gpu,gemma2:2b,Force GPU mode | Queue depth: 5,24.244,2,429,17.69,0.0,37.3,37.3,8.0,83.0,75.0,12.17,12.24,2.9,2.9,48.3,48.3
2025-12-01T16:23:59.107896,gpu,gemma2:2b,Force GPU mode | Queue depth: 6,31.956,11,402,12.58,27.3,45.7,18.4,8.0,85.0,77.0,12.17,12.25,2.9,2.9,48.3,48.3
2025-12-01T16:24:07.884325,gpu,gemma2:2b,Force GPU mode | Queue depth: 8,40.717,9,473,11.62,0.0,36.8,36.8,8.0,85.0,77.0,12.16,12.26,2.9,2.9,48.3,48.3
2025-12-01T16:24:13.575557,gpu,gemma2:2b,Force GPU mode | Queue depth: 4,46.43,3,301,6.48,0.0,34.0,34.0,8.0,87.0,79.0,12.17,12.26,2.9,2.9,48.3,48.3
2025-12-01T16:24:21.264796,gpu,gemma2:2b,Force GPU mode | Queue depth: 10,54.085,23,450,8.32,0.0,33.0,33.0,8.0,86.0,78.0,12.17,12.25,2.9,2.9,48.3,48.3
2025-12-01T16:24:28.206853,gpu,gemma2:2b,Force GPU mode | Queue depth: 1,61.07,3,387,6.34,29.4,33.3,3.9,8.0,87.0,79.0,12.17,12.27,2.9,2.9,48.3,48.3
2025-12-01T16:24:34.531825,gpu,gemma2:2b,Force GPU mode | Queue depth: 15,67.33,9,356,5.29,0.0,34.4,34.4,8.0,82.0,74.0,12.17,12.31,2.9,2.9,48.3,48.3
2025-12-01T16:24:47.594650,gpu,gemma2:2b,Force GPU mode | Queue depth: 12,80.409,22,680,8.46,0.0,34.4,34.4,8.0,73.0,65.0,12.17,12.3,2.9,2.9,48.3,48.3
2025-12-01T16:24:53.653425,gpu,gemma2:2b,Force GPU mode | Queue depth: 3,86.514,2,309,3.57,0.0,42.2,42.2,8.0,85.0,77.0,12.17,12.34,2.9,2.9,48.3,48.3
2025-12-01T16:24:59.135834,gpu,gemma2:2b,Force GPU mode | Queue depth: 2,91.997,2,294,3.2,36.4,37.2,0.8,8.0,85.0,77.0,12.17,12.32,2.9,2.9,48.3,48.3
2025-12-01T16:25:10.792853,gpu,gemma2:2b,Force GPU mode | Queue depth: 13,103.599,21,650,6.27,0.0,36.0,36.0,8.0,85.0,77.0,12.17,12.24,2.9,2.9,48.3,48.3
2025-12-01T16:25:17.733462,gpu,gemma2:2b,Force GPU mode | Queue depth: 9,110.561,8,367,3.32,73.3,34.6,-38.7,8.0,87.0,79.0,12.17,12.26,2.9,2.9,48.3,48.3
2025-12-01T16:25:31.218752,gpu,gemma2:2b,Force GPU mode | Queue depth: 7,124.061,23,725,5.84,0.0,34.6,34.6,8.0,84.0,76.0,12.17,12.14,2.9,2.9,48.3,48.3
2025-12-01T16:25:41.341468,gpu,gemma2:2b,Force GPU mode | Queue depth: 11,134.159,21,547,4.08,54.5,43.5,-11.0,8.0,85.0,77.0,12.17,11.73,2.9,2.9,48.3,48.3
