timestamp,mode,selected_model,decision_reason,latency_s,prompt_length,output_tokens,throughput_tokens_per_s,cpu_util_before,cpu_util_after,cpu_util_delta,gpu_util_before,gpu_util_after,gpu_util_delta,cpu_mem_before_gb,cpu_mem_after_gb,gpu_mem_before_gb,gpu_mem_after_gb,gpu_mem_util_before_pct,gpu_mem_util_after_pct
2025-11-30T16:43:02.069013,cpu,phi3,"Tiny prompt (len=3), CPU optimal | Queue depth: 1",3.887,3,40,10.29,25.7,30.7,5.0,8.0,93.0,85.0,12.76,12.26,2.98,4.42,49.75,73.68
2025-11-30T16:43:06.974706,cpu,phi3,"Tiny prompt (len=2), CPU optimal | Queue depth: 1",2.002,2,97,48.46,22.1,38.8,16.7,1.0,94.0,93.0,12.27,12.26,4.42,4.42,73.68,73.68
2025-11-30T16:43:10.002200,cpu,phi3,"Tiny prompt (len=2), CPU optimal | Queue depth: 1",2.719,2,128,47.07,38.3,37.1,-1.2,1.0,94.0,93.0,12.27,12.29,4.42,4.42,73.68,73.68
2025-11-30T16:43:13.749177,cpu,phi3,"GPU busy (80.0%), routing small prompt to CPU | Queue depth: 1",2.778,4,147,52.91,28.0,27.7,-0.3,80.0,95.0,15.0,12.3,12.29,4.42,4.42,73.68,73.72
2025-11-30T16:43:17.540164,cpu,phi3,"Tiny prompt (len=4), CPU optimal | Queue depth: 1",2.34,4,130,55.56,22.7,30.6,7.9,1.0,94.0,93.0,12.31,12.3,4.42,4.42,73.72,73.72
2025-11-30T16:43:20.896625,cpu,phi3,"GPU busy (95.0%), routing small prompt to CPU | Queue depth: 1",8.452,4,426,50.4,27.5,26.1,-1.4,95.0,94.0,-1.0,12.3,12.29,4.42,4.42,73.72,73.72
2025-11-30T16:43:30.371035,cpu,phi3,"Tiny prompt (len=7), CPU optimal | Queue depth: 1",6.557,7,331,50.48,24.2,26.3,2.1,1.0,95.0,94.0,12.31,12.28,4.42,4.42,73.72,73.72
2025-11-30T16:43:37.948364,gpu,gemma2:2b,"Small prompt, GPU available (util=1.0%) | Queue depth: 1",13.052,9,508,38.92,26.8,27.1,0.3,1.0,85.0,84.0,12.25,12.51,4.42,2.98,73.72,49.71
2025-11-30T16:43:52.006667,gpu,gemma2:2b,"Small prompt, GPU available (util=1.0%) | Queue depth: 1",7.265,10,391,53.82,30.0,27.0,-3.0,1.0,85.0,84.0,12.53,12.55,2.98,2.98,49.71,49.75
2025-11-30T16:44:00.301826,gpu,gemma2:2b,"Small prompt, GPU available (util=1.0%) | Queue depth: 1",11.921,25,652,54.69,34.5,31.3,-3.2,1.0,76.0,75.0,12.54,12.59,2.98,2.98,49.75,49.75
